FMA, SNOMED-CT Code
3734,15825003
3736,54247002
3932,425444002
3939,69105007
4058,721028001
3941,721033002
50737,57850000
49893,41801008
50040,50018008
50039,13647002
70250,113270003
70249,69833005
49846,74200005
49849,55601007
18807,283892001
18806,283797001
18810,283696001
18809,283593004
14766,77428008
14765,15567000
3862,59438005
14750,33795007
14749,42258001
66326,81040000
3951,36765005
4694,85235006
3953,29700009
3956,85234005
4066,50291007
3958,42384005
16599,719538003
16598,719537008
16579,37783008
15711,123956007
14542,66754008
55109,77578007
7099,59652004
7097,82471001
7096,73829009
14667,28273000
15900,89837001
15902,393006
30317,272673000
52740,52374004
52734,74872008
52749,21387005
42832,22356005
16591,773840006
16590,773841005
52752,421793000
16594,773842003
16593,773843008
52741,6229007
52748,91609006
52872,59066005
52874,763871003
52873,763872005
52745,74386004
52735,31640002
52746,51283005
9613,24924006
52789,1268793002
52788,1268794008
16580,118645006
20227,737466009
20226,737465008
52736,73117003
52737,60911003
52739,763817008
52738,763816004
52893,787058006
52892,787059003
52747,13881006
9608,14016003
13295,5798000
7199,113276009
7201,14742008
7200,30315005
45245,723375004
45244,723374000
5906,36582005
50801,12738006
79876,15926001
321497,80248007
321496,73056007
268893,63762007
26660,955009
26662,736637009
7405,102297006
7396,75245000
7395,70074004
26661,736638004
15703,34381000
7465,28700002
7206,38848004
52590,7173007
75189,9284003
54378,279549004
20292,74262004
14541,32713005
67944,113305005
62000,83678007
61819,72792008
67292,5228007
17740,71252005
50060,78904004
25559,771318003
25558,771319006
83719,369387006
13323,720617006
13322,720616002
50864,56193007
50880,762876001
50879,762877005
50870,21161002
50892,734529006
50866,27612005
50885,734431004
50884,734430003
50867,80622005
50887,771204007
50886,771205008
50868,56052001
50889,734418009
50888,734416008
50869,8598002
50891,763849008
50890,763850008
6720,15119000
50899,764765007
50897,764764006
50871,37899009
50903,771196008
50901,771197004
60201,80169004
60203,772064001
60202,772065000
14543,71854001
14545,9040008
14547,32622004
268861,40638003
14548,60184004
14546,485005
58238,28726007
58240,11287007
58239,36840001
52890,36743005
9615,8600008
46661,28276008
7202,28231008
45643,71934003
59101,13561001
53644,49521004
53643,69838001
52781,28347008
61021,73401004
61020,76473007
60909,22945000
56513,25342003
56515,50460003
56514,53434003
13890,111002
24901,127949000
24903,368148009
24902,368149001
7131,32849002
320440,88481005
320442,385296007
12515,8966001
12514,18944008
9607,9875009
9603,69748006
32843,774117004
32842,774118009
35180,362907004
35179,362908009
24475,71341001
42386,29627003
42387,773710001
24474,722739008
32849,758654003
32848,758655002
24479,87342007
24481,724231006
24480,724230007
55414,1307006
55023,90228003
15629,12003004
15630,29392005
7088,80891009
59103,80984007
59102,18855009
59805,64303008
59804,81831003
275020,5366008
59803,48065005
59802,91590006
62008,264483005
7208,181249005
7207,21306003
35289,16953009
25912,85537004
54832,53620006
15581,50403003
15610,74033008
23131,719460003
23130,719461004
264815,64033007
24974,72696002
54880,81502006
55097,4596009
59815,81083006
54834,725284004
