FMA, SNOMED-CT Code
3734,15825003
3736,54247002
3932,425444002
3939,69105007
4058,69105007
3941,69105007
50737,57850000
49893,41801008
50040,41801008
50039,41801008
70250,7657000
70249,7657000
49846,74200005
49849,55601007
18807,113269004
18806,113269004
18810,90024005
18809,90024005
14766,73634005
14765,73634005
3862,33795007
14750,33795007
14749,42258001
66326,81040000
3951,36765005
4694,36765005
3953,36765005
3956,85234005
4066,85234005
3958,85234005
16599,37783008
16598,37783008
16579,37783008
15711,123956007
14542,66754008
55109,77578007
55114,77578007
55113,77578007
7099,59652004
7097,59652004
7096,59652004
14667,79741001
15900,89837001
15902,393006
30317,119186007
52740,52374004
52734,74872008
52749,21387005
42832,22356005
16591,22356005
16590,22356005
52752,421793000
74051,421793000
74050,421793000
16594,85710004
16593,85710004
52741,6229007
53646,6229007
53645,6229007
52748,91609006
52872,59066005
52874,59066005
52873,59066005
52745,74386004
53648,74386004
53647,74386004
52735,31640002
52746,51283005
53656,51283005
53655,51283005
9613,24924006
52789,24924006
52788,24924006
16580,118645006
20227,118645006
20226,118645006
52736,73117003
52737,60911003
52739,60911003
52738,60911003
52893,13881006
52892,13881006
52747,13881006
9608,14016003
13295,5798000
7199,113276009
7201,14742008
7200,30315005
45245,36582005
45244,36582005
5906,36582005
50801,12738006
79876,15926001
321497,76752008
321496,76752008
268893,76752008
26660,955009
26662,955009
7405,102297006
7396,102297006
7395,102297006
26661,955009
15703,34381000
7465,28700002
7206,38848004
52590,7173007
75189,9284003
54378,279549004
20292,74262004
14541,32713005
67944,113305005
62000,83678007
61819,83678007
67292,83678007
17740,71252005
50060,78904004
25559,78904004
25558,78904004
83719,369387006
13323,51299004
13322,51299004
50864,56193007
50880,56193007
50879,56193007
50870,21161002
50892,21161002
50870,21161002
50866,27612005
50885,27612005
50884,27612005
50867,80622005
50887,80622005
50886,80622005
50868,56052001
50889,56052001
50888,56052001
50869,8598002
50891,8598002
50890,8598002
6720,15119000
50899,15119000
50897,15119000
50871,37899009
50903,37899009
50901,37899009
60201,80169004
60203,80169004
60202,80169004
14543,71854001
14545,9040008
14547,32622004
268861,81745001
14548,60184004
14546,485005
58238,28726007
58240,28726007
58239,28726007
52890,36743005
9615,8600008
46661,28276008
7202,28231008
45643,71934003
59101,13561001
53644,117590005
53643,117590005
52781,117590005
61021,117590005
61020,117590005
60909,117590005
56513,117590005
56515,117590005
56514,117590005
13890,111002
24901,127949000
24903,127949000
24902,127949000
7131,32849002
9397,32849002
9396,32849002
320440,88481005
320442,385296007
12515,81745001
12514,81745001
9607,9875009
9603,69748006
32843,2812003
32842,2812003
35180,24136001
35179,24136001
24475,71341001
24475,71341001
42386,29627003
42386,29627003
42387,29627003
24474,71341001
32849,41111004
32848,41111004
9611,71341001
24479,87342007
24481,87342007
24480,87342007
55414,1307006
55023,90228003
15629,23451007
15630,23451007
7088,80891009
59103,13561001
59102,13561001
59805,88481005
59804,88481005
275020,5366008
59803,385296007
59802,385296007
